report_date,year,month,market,source,commodity,category,class_grade,sex,head_count,weight_range,avg_weight,weight_bucket,price_range,avg_price,notes,pdf_url,local_pdf,raw_line,publication_page
2023-01-20,2023,1,Santa Teresa Livestock Auction,USDA ESMIS,Feeder Cattle,,Medium and Large 1,Heifers,9,321,321.0,300-400,188.00,188.0,,https://esmis.nal.usda.gov/sites/default/release-files/xs55mc089/4b29cj684/7s75fr044/AMS_1290.PDF,/home/runner/work/santa-teresa-livestock-usda/santa-teresa-livestock-usda/pdfs/santa_teresa_2023-01-20.pdf,9 321 321 188.00 188.00,https://esmis.nal.usda.gov/publication/santa-teresa-livestock-auction-wtd-avg-santa-teresa-nm/2023-01-20
2023-01-20,2023,1,Santa Teresa Livestock Auction,USDA ESMIS,Feeder Cattle,,Medium and Large 1,Heifers,50,412,412.0,400-500,178.00,178.0,,https://esmis.nal.usda.gov/sites/default/release-files/xs55mc089/4b29cj684/7s75fr044/AMS_1290.PDF,/home/runner/work/santa-teresa-livestock-usda/santa-teresa-livestock-usda/pdfs/santa_teresa_2023-01-20.pdf,50 412 412 178.00 178.00,https://esmis.nal.usda.gov/publication/santa-teresa-livestock-auction-wtd-avg-santa-teresa-nm/2023-01-20
2023-01-20,2023,1,Santa Teresa Livestock Auction,USDA ESMIS,Feeder Cattle,,Medium and Large 1,Heifers,27,515,515.0,500-600,173.25,173.25,,https://esmis.nal.usda.gov/sites/default/release-files/xs55mc089/4b29cj684/7s75fr044/AMS_1290.PDF,/home/runner/work/santa-teresa-livestock-usda/santa-teresa-livestock-usda/pdfs/santa_teresa_2023-01-20.pdf,27 515 515 173.25 173.25,https://esmis.nal.usda.gov/publication/santa-teresa-livestock-auction-wtd-avg-santa-teresa-nm/2023-01-20
2023-01-20,2023,1,Santa Teresa Livestock Auction,USDA ESMIS,Feeder Cattle,,Medium and Large 1,Heifers,13,646,646.0,600-700,154.50,154.5,Fleshy,https://esmis.nal.usda.gov/sites/default/release-files/xs55mc089/4b29cj684/7s75fr044/AMS_1290.PDF,/home/runner/work/santa-teresa-livestock-usda/santa-teresa-livestock-usda/pdfs/santa_teresa_2023-01-20.pdf,13 646 646 154.50 154.50 Fleshy,https://esmis.nal.usda.gov/publication/santa-teresa-livestock-auction-wtd-avg-santa-teresa-nm/2023-01-20
2023-01-20,2023,1,Santa Teresa Livestock Auction,USDA ESMIS,Feeder Cattle,,Medium and Large 1-2,Heifers,39,531,531.0,500-600,167.00,167.0,,https://esmis.nal.usda.gov/sites/default/release-files/xs55mc089/4b29cj684/7s75fr044/AMS_1290.PDF,/home/runner/work/santa-teresa-livestock-usda/santa-teresa-livestock-usda/pdfs/santa_teresa_2023-01-20.pdf,39 531 531 167.00 167.00,https://esmis.nal.usda.gov/publication/santa-teresa-livestock-auction-wtd-avg-santa-teresa-nm/2023-01-20
2023-01-20,2023,1,Santa Teresa Livestock Auction,USDA ESMIS,Feeder Cattle,,Medium and Large 1,Steers,35,287,287.0,200-300,231.50,231.5,,https://esmis.nal.usda.gov/sites/default/release-files/xs55mc089/4b29cj684/7s75fr044/AMS_1290.PDF,/home/runner/work/santa-teresa-livestock-usda/santa-teresa-livestock-usda/pdfs/santa_teresa_2023-01-20.pdf,35 287 287 231.50 231.50,https://esmis.nal.usda.gov/publication/santa-teresa-livestock-auction-wtd-avg-santa-teresa-nm/2023-01-20
2023-01-20,2023,1,Santa Teresa Livestock Auction,USDA ESMIS,Feeder Cattle,,Medium and Large 1,Steers,123,352-391,377.0,300-400,215.00-222.00,218.97,,https://esmis.nal.usda.gov/sites/default/release-files/xs55mc089/4b29cj684/7s75fr044/AMS_1290.PDF,/home/runner/work/santa-teresa-livestock-usda/santa-teresa-livestock-usda/pdfs/santa_teresa_2023-01-20.pdf,123 352-391 377 215.00-222.00 218.97,https://esmis.nal.usda.gov/publication/santa-teresa-livestock-auction-wtd-avg-santa-teresa-nm/2023-01-20
2023-01-20,2023,1,Santa Teresa Livestock Auction,USDA ESMIS,Feeder Cattle,,Medium and Large 1,Steers,164,460-487,471.0,400-500,199.00-205.00,200.96,,https://esmis.nal.usda.gov/sites/default/release-files/xs55mc089/4b29cj684/7s75fr044/AMS_1290.PDF,/home/runner/work/santa-teresa-livestock-usda/santa-teresa-livestock-usda/pdfs/santa_teresa_2023-01-20.pdf,164 460-487 471 199.00-205.00 200.96,https://esmis.nal.usda.gov/publication/santa-teresa-livestock-auction-wtd-avg-santa-teresa-nm/2023-01-20
2023-01-20,2023,1,Santa Teresa Livestock Auction,USDA ESMIS,Feeder Cattle,,Medium and Large 1,Steers,45,500-527,510.0,500-600,180.00-185.00,183.05,,https://esmis.nal.usda.gov/sites/default/release-files/xs55mc089/4b29cj684/7s75fr044/AMS_1290.PDF,/home/runner/work/santa-teresa-livestock-usda/santa-teresa-livestock-usda/pdfs/santa_teresa_2023-01-20.pdf,45 500-527 510 180.00-185.00 183.05,https://esmis.nal.usda.gov/publication/santa-teresa-livestock-auction-wtd-avg-santa-teresa-nm/2023-01-20
2023-01-20,2023,1,Santa Teresa Livestock Auction,USDA ESMIS,Feeder Cattle,,Medium and Large 1,Steers,93,567-586,577.0,500-600,175.00-181.00,179.21,,https://esmis.nal.usda.gov/sites/default/release-files/xs55mc089/4b29cj684/7s75fr044/AMS_1290.PDF,/home/runner/work/santa-teresa-livestock-usda/santa-teresa-livestock-usda/pdfs/santa_teresa_2023-01-20.pdf,93 567-586 577 175.00-181.00 179.21,https://esmis.nal.usda.gov/publication/santa-teresa-livestock-auction-wtd-avg-santa-teresa-nm/2023-01-20
2023-01-20,2023,1,Santa Teresa Livestock Auction,USDA ESMIS,Feeder Cattle,,Medium and Large 1,Steers,19,600,600.0,600-700,177.50,177.5,,https://esmis.nal.usda.gov/sites/default/release-files/xs55mc089/4b29cj684/7s75fr044/AMS_1290.PDF,/home/runner/work/santa-teresa-livestock-usda/santa-teresa-livestock-usda/pdfs/santa_teresa_2023-01-20.pdf,19 600 600 177.50 177.50,https://esmis.nal.usda.gov/publication/santa-teresa-livestock-auction-wtd-avg-santa-teresa-nm/2023-01-20
2023-01-20,2023,1,Santa Teresa Livestock Auction,USDA ESMIS,Feeder Cattle,,Medium and Large 1,Steers,38,628-637,633.0,600-700,167.00-168.50,167.87,Full,https://esmis.nal.usda.gov/sites/default/release-files/xs55mc089/4b29cj684/7s75fr044/AMS_1290.PDF,/home/runner/work/santa-teresa-livestock-usda/santa-teresa-livestock-usda/pdfs/santa_teresa_2023-01-20.pdf,38 628-637 633 167.00-168.50 167.87 Full,https://esmis.nal.usda.gov/publication/santa-teresa-livestock-auction-wtd-avg-santa-teresa-nm/2023-01-20
2023-01-20,2023,1,Santa Teresa Livestock Auction,USDA ESMIS,Feeder Cattle,,Medium and Large 1,Steers,14,673,673.0,600-700,161.00,161.0,,https://esmis.nal.usda.gov/sites/default/release-files/xs55mc089/4b29cj684/7s75fr044/AMS_1290.PDF,/home/runner/work/santa-teresa-livestock-usda/santa-teresa-livestock-usda/pdfs/santa_teresa_2023-01-20.pdf,14 673 673 161.00 161.00,https://esmis.nal.usda.gov/publication/santa-teresa-livestock-auction-wtd-avg-santa-teresa-nm/2023-01-20
